"144";"1";"4";"615"
"145";"6";"15";"168"
"146";"1";"4";"712"
"147";"1";"5";"504"
"148";"2";"4";"A3T"
"149";"2";"4";"255"
"150";"3";"1";"203"
"151";"2";"3";"246"
"152";"1";"3";"413"
"153";"2";"3";"248"
"154";"6";"3";"383"
"155";"3";"3";"428"
"156";"2";"3";"341"
"157";"2";"16";"090"
"158";"2";"9";"267"
"159";"3";"9";"521"
"160";"6";"1";"379"
"161";"3";"6";"705"
"162";"1";"14";"223"
"163";"8";"7";"816"
"164";"2";"8";"270"
"165";"4";"6";"E32"
"166";"1";"7";"323"
"167";"1";"8";"316"
"168";"1";"7";"320"
"169";"1";"7";"305"
"170";"1";"7";"307"
"171";"1";"8";"310"
"172";"1";"18";"117"
"173";"2";"18";"028"
"174";"2";"13";"008"
"175";"2";"3";"361"
"176";"6";"12";"062"
"177";"7";"3";"800"
"178";"2";"1";"N02"
"179";"2";"1";"SZ2"
"180";"2";"1";"166"
"181";"2";"1";"169"
"182";"2";"3";"000"
"183";"2";"3";"399"
"184";"2";"13";"041"
"185";"1";"4";"608"
"186";"1";"4";"609"
"187";"2";"3";"254"
"188";"1";"3";"418"
"189";"2";"6";"281"
"190";"2";"1";"SSM"
"191";"2";"2";"278"
"192";"2";"3";"395"
"193";"1";"3";"430"
"194";"2";"2";"068"
"195";"2";"9";"186"
"196";"1";"3";"439"
"197";"2";"4";"096"
"198";"2";"7";"195"
"199";"1";"1";"201"
"200";"3";"4";"606"
"201";"1";"5";"502"
"202";"2";"5";"300"
"203";"1";"9";"514"
"204";"6";"3";"382"
"205";"2";"11";"390"
"206";"2";"11";"046"
"207";"2";"6";"220"
"208";"2";"4";"161"
"209";"1";"10";"108"
"210";"2";"6";"088"
"211";"1";"9";"512"
"212";"2";"6";"013"
"213";"2";"6";"158"
"214";"2";"10";"110"
"215";"8";"3";"801"
"216";"2";"10";"009"
"217";"1";"13";"114"
"218";"2";"15";"119"
"219";"2";"3";"470"
"220";"2";"2";"071"
"221";"1";"3";"417"
"222";"3";"3";"421"
"223";"3";"3";"433"
"224";"1";"8";"312"
"225";"1";"3";"409"
"226";"2";"3";"253"
"227";"2";"6";"152"
"228";"2";"16";"105"
"229";"1";"5";"507"
"230";"1";"3";"405"
"231";"3";"3";"427"
"232";"2";"11";"288"
"233";"2";"12";"024"
"234";"2";"6";"130"
"235";"2";"6";"085"
"236";"2";"1";"345"
"237";"2";"14";"159"
"238";"2";"11";"356"
"239";"2";"9";"155"
"240";"3";"10";"109"
"241";"2";"12";"D03"
"242";"1";"6";"714"
"243";"1";"3";"412"
"244";"1";"4";"604"
"245";"2";"6";"133"
"246";"2";"6";"156"
"247";"1";"1";"226"
"248";"1";"1";"220"
"249";"2";"1";"188"
"250";"1";"1";"212"
"251";"1";"2";"103"
"252";"2";"3";"164"
"253";"1";"1";"207"
"254";"2";"5";"031"
"255";"2";"6";"211"
"256";"2";"3";"383"
"257";"7";"3";"808"
"258";"1";"1";"211"
"259";"2";"1";"003"
"260";"2";"3";"280"
"261";"4";"5";"E07"
"262";"2";"3";"039"
"263";"2";"3";"054"
"264";"2";"3";"471"
"265";"2";"8";"057"
"266";"1";"2";"119"
"267";"2";"3";"177"
"268";"2";"12";"277"
"269";"2";"12";"062"
"270";"1";"3";"434"
"271";"2";"18";"160"
"272";"2";"9";"210"
"273";"2";"17";"011"
"274";"2";"3";"398"
"275";"2";"3";"396"
"276";"1";"3";"465"
"277";"3";"12";"313"
"278";"1";"3";"448"
"279";"1";"3";"467"
"280";"3";"3";"426"
"281";"3";"7";"304"
"282";"1";"7";"302"
"283";"4";"8";"J07"
"284";"6";"5";"151"
"285";"2";"1";"194"
"286";"6";"14";"064"
"287";"1";"1";"213"
"288";"1";"1";"240"
"289";"2";"1";"260"
"290";"2";"19";"040"
"291";"2";"14";"005"
"292";"2";"11";"207"
"293";"3";"1";"219"
"294";"2";"16";"091"
"295";"1";"16";"611"
"296";"2";"15";"366"
"297";"2";"15";"311"
"298";"3";"11";"708"
"299";"2";"3";"405"
"300";"2";"2";"352"
"301";"2";"3";"353"
"302";"2";"8";"140"
"303";"6";"8";"270"
"304";"2";"7";"010"
"305";"1";"7";"306"
"306";"3";"1";"221"
"307";"1";"3";"435"
"308";"1";"19";"454"
